,orig_index,f_form,def_form,voltage,vol_p_f,per_exp,grav_cap,grav_e_den,vol_e_den,f_transfer,f_cost_p_kg,def_cost_p_kg,f_cost_p_mol,def_cost_p_mol,cost_p_mol_f,log10_cost_p_mol_f,f_id,def_id,f_spacegroup,def_spacegroup,f_e_hull,def_e_hull,f_bandgap,def_bandgap,f_barrier,def_barrier,direct,products,type
345,322,CaTlF3,CaTl,0.65,30.70,54.36,266.72,173.38,942.27,3.0,2848.22,3511.81,858.62,858.50,286.21,2.46,mp-998615,mp-2861,Spacegroup object (161),Spacegroup object (221),0.01,0.00,4.63,0.00,-,-,No,CaTl3 + 2 CaF2,Complete
346,326,CrOF,CrO,1.85,40.86,62.84,308.08,568.49,2010.05,1.0,6.09,7.22,0.53,0.49,0.53,-0.28,mp-752944,mp-755073,Spacegroup object (59),Spacegroup object (131),0.01,0.01,2.14,0.00,3.16,-,No,Cr2O3 + CrF2,Complete
347,328,Cs3AsF6,Cs3As,1.43,39.57,18.02,273.66,390.55,1605.01,6.0,41932.94,52024.46,24640.99,24640.76,4106.83,3.61,mp-1113159,mp-542220,Spacegroup object (225),Spacegroup object (185),0.01,0.00,4.30,0.00,-,-,No,Cs2As3 + 7 CsF,Complete
348,329,MgBiF6,MgBi,2.02,21.85,132.77,463.06,933.36,4105.04,6.0,4.65,5.94,1.61,1.39,0.27,-0.57,mp-1383723,mp-1039305,Spacegroup object (148),Spacegroup object (166),0.02,0.07,0.00,0.00,-,-,No,Bi + MgF2,Complete
349,330,ZnAgF3,ZnAg,2.51,24.43,125.55,349.17,875.41,4566.55,3.0,245.28,325.29,56.48,56.37,18.83,1.27,mp-998537,mp-1912,Spacegroup object (148),Spacegroup object (221),0.02,0.00,1.35,0.00,-,-,No,ZnAg3 + 2 ZnF2,Complete
350,331,MgAgF3,MgAg,1.42,20.93,69.25,425.04,601.47,3008.79,3.0,297.99,425.62,56.37,56.26,18.79,1.27,mp-998418,mp-2696,Spacegroup object (167),Spacegroup object (221),0.02,0.00,2.19,0.00,2.98,-,No,MgAg3 + 2 MgF2,Complete
351,332,OsO2F3,OsO2,3.54,31.38,186.45,287.96,1020.59,5026.45,3.0,8175.80,10272.14,2282.88,2282.76,760.96,2.88,mp-559897,mp-996,Spacegroup object (14),Spacegroup object (136),0.02,0.00,0.57,0.00,-,-,No,OsO4 + OsF5,Complete
352,337,SrMgF4,SrMg,-0.12,20.82,12.74,570.49,-65.69,-246.16,4.0,4.19,5.67,0.79,0.63,0.20,-0.71,mp-561022,mp-2564,Spacegroup object (4),Spacegroup object (221),0.02,0.01,6.69,0.00,-,-,No,SrMg2 + SrF2,Complete
353,338,ZnNiF5,ZnNi,2.97,17.12,255.39,611.64,1819.56,7733.36,5.0,5.36,7.92,1.17,0.98,0.23,-0.63,mp-1343278,mp-429,Spacegroup object (14),Spacegroup object (123),0.02,0.00,1.61,0.00,-,-,No,Ni + ZnF2,Complete
354,339,MgNiF5,MgNi,2.20,17.00,200.68,752.89,1655.08,5754.15,5.0,5.97,10.51,1.06,0.87,0.21,-0.67,mp-1397453,mp-1010953,Spacegroup object (15),Spacegroup object (221),0.02,0.04,2.00,0.00,-,-,No,MgNi2 + MgF2,Complete
